Time,Charge-Enable Output Active,Discharge-Enable Output Active,Pack Amperage (Current),Pack Voltage,Pack State of Charge (SOC)
Mon May 19 19:12:46 PDT 2025,1.000000,1.000000,-30.900000,90.000000,10.500000
Mon May 19 19:12:46 PDT 2025,1.000000,1.000000,-31.000000,90.100000,10.500000
Mon May 19 19:12:46 PDT 2025,1.000000,1.000000,-30.700000,90.000000,10.500000
Mon May 19 19:12:46 PDT 2025,1.000000,1.000000,-31.600000,90.100000,10.500000
Mon May 19 19:12:46 PDT 2025,1.000000,1.000000,-30.700000,90.000000,10.500000
Mon May 19 19:12:46 PDT 2025,1.000000,1.000000,-32.000000,90.100000,10.500000
Mon May 19 19:12:47 PDT 2025,1.000000,1.000000,-30.500000,90.000000,10.500000
Mon May 19 19:12:47 PDT 2025,1.000000,1.000000,-32.100000,90.000000,10.500000
Mon May 19 19:12:47 PDT 2025,1.000000,1.000000,-30.800000,90.000000,10.500000
Mon May 19 19:12:47 PDT 2025,1.000000,1.000000,-32.000000,90.000000,10.500000
Mon May 19 19:12:47 PDT 2025,1.000000,1.000000,-31.200000,90.000000,10.500000
Mon May 19 19:12:47 PDT 2025,1.000000,1.000000,-31.300000,90.100000,10.500000
Mon May 19 19:12:47 PDT 2025,1.000000,1.000000,-30.900000,90.000000,10.500000
Mon May 19 19:12:47 PDT 2025,1.000000,1.000000,-31.700000,90.100000,10.500000
Mon May 19 19:12:47 PDT 2025,1.000000,1.000000,-30.900000,90.000000,10.500000
Mon May 19 19:12:48 PDT 2025,1.000000,1.000000,-30.900000,90.100000,10.500000
Mon May 19 19:12:48 PDT 2025,1.000000,1.000000,-31.000000,90.000000,10.500000
Mon May 19 19:12:48 PDT 2025,1.000000,1.000000,-32.000000,90.100000,10.500000
Mon May 19 19:12:48 PDT 2025,1.000000,1.000000,-32.000000,90.000000,10.500000
Mon May 19 19:12:48 PDT 2025,1.000000,1.000000,-31.500000,90.100000,10.500000
Mon May 19 19:12:48 PDT 2025,1.000000,1.000000,-31.700000,90.000000,10.500000
Mon May 19 19:12:48 PDT 2025,1.000000,1.000000,-31.900000,90.100000,10.500000
Mon May 19 19:12:48 PDT 2025,1.000000,1.000000,-31.700000,90.000000,10.500000
Mon May 19 19:12:48 PDT 2025,1.000000,1.000000,-30.600000,90.100000,10.500000
Mon May 19 19:12:48 PDT 2025,1.000000,1.000000,-31.000000,90.000000,10.500000
Mon May 19 19:12:49 PDT 2025,1.000000,1.000000,-30.600000,90.100000,10.500000
Mon May 19 19:12:49 PDT 2025,1.000000,1.000000,-31.200000,90.000000,10.500000
Mon May 19 19:12:49 PDT 2025,1.000000,1.000000,-30.900000,90.100000,10.500000
Mon May 19 19:12:49 PDT 2025,1.000000,1.000000,-32.000000,90.000000,10.500000
Mon May 19 19:12:49 PDT 2025,1.000000,1.000000,-31.400000,90.100000,10.500000
Mon May 19 19:12:49 PDT 2025,1.000000,1.000000,-30.600000,90.000000,10.500000
Mon May 19 19:12:49 PDT 2025,1.000000,1.000000,-31.000000,90.100000,10.500000
Mon May 19 19:12:49 PDT 2025,1.000000,1.000000,-32.000000,90.000000,10.500000
Mon May 19 19:12:49 PDT 2025,1.000000,1.000000,-30.900000,90.100000,10.500000
Mon May 19 19:12:49 PDT 2025,1.000000,1.000000,-31.800000,90.000000,10.500000
Mon May 19 19:12:50 PDT 2025,1.000000,1.000000,-31.100000,90.100000,10.500000
Mon May 19 19:12:50 PDT 2025,1.000000,1.000000,-31.700000,90.000000,10.500000
Mon May 19 19:12:50 PDT 2025,1.000000,1.000000,-31.800000,90.100000,10.500000
Mon May 19 19:12:50 PDT 2025,1.000000,1.000000,-32.000000,90.100000,10.500000
Mon May 19 19:12:50 PDT 2025,1.000000,1.000000,-31.100000,90.100000,10.500000
Mon May 19 19:12:50 PDT 2025,1.000000,1.000000,-31.700000,90.000000,10.500000
Mon May 19 19:12:50 PDT 2025,1.000000,1.000000,-30.500000,90.100000,10.500000
Mon May 19 19:12:50 PDT 2025,1.000000,1.000000,-31.800000,90.000000,10.500000
Mon May 19 19:12:50 PDT 2025,1.000000,1.000000,-30.500000,90.100000,10.500000
Mon May 19 19:12:50 PDT 2025,1.000000,1.000000,-32.000000,90.100000,10.500000
Mon May 19 19:12:51 PDT 2025,1.000000,1.000000,-30.900000,90.100000,10.500000
Mon May 19 19:12:51 PDT 2025,1.000000,1.000000,-32.100000,90.100000,10.500000
Mon May 19 19:12:51 PDT 2025,1.000000,1.000000,-31.400000,90.100000,10.500000
Mon May 19 19:12:51 PDT 2025,1.000000,1.000000,-32.000000,90.100000,10.500000
Mon May 19 19:12:51 PDT 2025,1.000000,1.000000,-30.600000,90.100000,10.500000
Mon May 19 19:12:51 PDT 2025,1.000000,1.000000,-32.000000,90.100000,10.500000
Mon May 19 19:12:51 PDT 2025,1.000000,1.000000,-31.500000,90.100000,10.500000
Mon May 19 19:12:51 PDT 2025,1.000000,1.000000,-31.900000,90.000000,10.500000
Mon May 19 19:12:51 PDT 2025,1.000000,1.000000,-30.400000,90.100000,10.500000
Mon May 19 19:12:51 PDT 2025,1.000000,1.000000,-32.000000,90.100000,10.500000
Mon May 19 19:12:52 PDT 2025,1.000000,1.000000,-30.800000,90.100000,10.500000
Mon May 19 19:12:52 PDT 2025,1.000000,1.000000,-32.000000,90.100000,10.500000
Mon May 19 19:12:52 PDT 2025,1.000000,1.000000,-30.700000,90.100000,10.500000
Mon May 19 19:12:52 PDT 2025,1.000000,1.000000,-31.900000,90.100000,10.500000
Mon May 19 19:12:52 PDT 2025,1.000000,1.000000,-30.800000,90.100000,10.500000
Mon May 19 19:12:52 PDT 2025,1.000000,1.000000,-32.000000,90.100000,10.500000
