Time,Time Since Power-On,Charge-Enable Output Active,Discharge-Enable Output Active,Pack Amperage (Current),Pack Voltage,Pack State of Charge (SOC)
Wed May 21 17:29:42 PDT 2025,3752.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:43 PDT 2025,3753.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:43 PDT 2025,3753.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:43 PDT 2025,3753.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:43 PDT 2025,3753.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:43 PDT 2025,3753.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:43 PDT 2025,3753.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:43 PDT 2025,3753.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:43 PDT 2025,3753.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:43 PDT 2025,3753.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:43 PDT 2025,3754.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:44 PDT 2025,3754.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:44 PDT 2025,3754.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:44 PDT 2025,3754.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:44 PDT 2025,3754.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:44 PDT 2025,3754.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:44 PDT 2025,3754.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:44 PDT 2025,3754.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:44 PDT 2025,3754.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:44 PDT 2025,3754.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:45 PDT 2025,3755.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:45 PDT 2025,3755.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:45 PDT 2025,3755.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:45 PDT 2025,3755.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:45 PDT 2025,3755.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:45 PDT 2025,3755.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:45 PDT 2025,3755.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:45 PDT 2025,3755.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:45 PDT 2025,3755.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:45 PDT 2025,3755.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:46 PDT 2025,3755.000000,1.000000,0.000000,0.000000,87.700000,3.500000
